Matrix Size,Granularity,Total Time (s),Multiplication Time (s)
64,4,3.122,1.512856
64,4,3.231,1.505472
64,8,1.318,0.476945
64,8,1.386,0.460255
64,16,0.469,0.358404
64,16,0.459,0.347872
64,32,0.497,0.340062
64,32,0.479,0.321745
64,64,0.349,0.329431
64,64,0.334,0.318743
128,4,9.680,4.863419
128,4,8.750,5.139908
128,8,32.931,10.638408
128,8,6.203,2.988657
128,16,1.756,1.730027
128,16,2.287,2.261001
128,32,1.149,1.124580
128,32,1.168,1.142528
128,64,1.225,1.113390
128,64,1.185,1.075133
256,4,25.342,16.405378
256,4,15.201,15.141490
256,8,16.702,13.446895
64,4,4.108,3.833247
64,4,3.122,1.675188
64,8,1.356,0.453620
64,8,1.338,0.457205
64,16,0.474,0.362967
64,16,0.484,0.369364
64,32,0.495,0.337826
64,32,0.492,0.327597
64,64,0.336,0.319630
64,64,0.336,0.317792
128,4,9.907,4.374235
128,4,8.334,4.273928
128,8,5.169,2.303753
128,8,8.017,7.863174
128,16,1.840,1.538363
128,16,2.414,1.428745
128,32,1.116,1.090026
128,32,1.139,1.114025
128,64,1.195,1.083465
128,64,1.197,1.087004
256,4,31.292,24.942088
256,4,11.537,11.476552
64,4,70.162,47.352414
64,4,74.272,56.553093
64,8,26.159,20.196040
64,8,23.050,16.334093
64,16,24.977,24.964521
64,16,18.929,18.917181
64,32,29.330,29.317937
64,32,10.042,10.028274
64,64,14.397,14.367057
64,64,20.137,20.122248
128,4,160.106,160.076687
256,8,1074.951,-13934836.450916
128,4,46.760,46.726768
128,8,68.613,68.582535
128,8,5.232,3.114138
128,16,1.815,1.510048
128,16,1.802,1.492352
128,32,1.121,1.095033
128,32,1.106,1.080973
128,64,1.196,1.084384
128,64,1.200,1.094695
256,4,140.796,140.736910
256,4,14.545,14.485281
256,8,363.075,363.019944
256,8,21.472,21.415110
256,16,12.289,11.389778
256,16,22.175,22.122689
256,32,4.877,4.828961
256,32,4.780,4.730805
256,64,3.972,3.924543
256,64,3.944,3.896802
